sasdate;INDPRO;CPIAUCSL;FEDFUNDS
Transform:;5;6;2
1/1/1959;21.9616;29.01;2.48
2/1/1959;22.3917;29;2.43
3/1/1959;22.7142;28.97;2.8
4/1/1959;23.1981;28.98;2.96
5/1/1959;23.5476;29.04;2.9
6/1/1959;23.5744;29.11;3.39
7/1/1959;23.0099;29.15;3.47
8/1/1959;22.2304;29.18;3.5
9/1/1959;22.2035;29.25;3.76
10/1/1959;22.0422;29.35;3.98
11/1/1959;22.1766;29.35;4
12/1/1959;23.5475;29.41;3.99
1/1/1960;24.1658;29.37;3.99
2/1/1960;23.9508;29.41;3.97
3/1/1960;23.7357;29.41;3.84
4/1/1960;23.5476;29.54;3.92
5/1/1960;23.5207;29.57;3.85
6/1/1960;23.225;29.61;3.32
7/1/1960;23.1443;29.55;3.23
8/1/1960;23.1175;29.61;2.98
9/1/1960;22.8755;29.61;2.6
10/1/1960;22.8487;29.75;2.47
11/1/1960;22.5261;29.78;2.44
12/1/1960;22.096;29.81;1.98
1/1/1961;22.1229;29.84;1.45
2/1/1961;22.096;29.84;2.54
3/1/1961;22.2304;29.84;2.02
4/1/1961;22.6874;29.81;1.49
5/1/1961;23.0368;29.84;1.98
6/1/1961;23.3594;29.84;1.73
7/1/1961;23.6282;29.92;1.17
8/1/1961;23.8432;29.94;2
9/1/1961;23.8164;29.98;1.88
10/1/1961;24.2733;29.98;2.26
11/1/1961;24.6497;29.98;2.61
12/1/1961;24.8647;30.01;2.33
1/1/1962;24.6496;30.04;2.15
2/1/1962;25.0529;30.11;2.37
3/1/1962;25.1873;30.17;2.85
4/1/1962;25.241;30.21;2.78
5/1/1962;25.2141;30.24;2.36
6/1/1962;25.1604;30.21;2.68
7/1/1962;25.4023;30.22;2.71
8/1/1962;25.4292;30.28;2.93
9/1/1962;25.5905;30.42;2.9
10/1/1962;25.6174;30.38;2.9
11/1/1962;25.7249;30.38;2.94
12/1/1962;25.7249;30.38;2.93
1/1/1963;25.913;30.44;2.92
2/1/1963;26.2088;30.48;3
3/1/1963;26.37;30.51;2.98
4/1/1963;26.612;30.48;2.9
5/1/1963;26.9345;30.51;3
6/1/1963;27.0152;30.61;2.99
7/1/1963;26.9076;30.69;3.02
8/1/1963;26.9614;30.75;3.49
9/1/1963;27.2302;30.72;3.48
10/1/1963;27.4184;30.75;3.5
11/1/1963;27.5528;30.78;3.48
12/1/1963;27.499;30.88;3.38
1/1/1964;27.7409;30.94;3.48
2/1/1964;27.9291;30.91;3.48
3/1/1964;27.9291;30.94;3.43
4/1/1964;28.3861;30.95;3.47
5/1/1964;28.5474;30.98;3.5
6/1/1964;28.628;31.01;3.5
7/1/1964;28.8162;31.02;3.42
8/1/1964;29.0043;31.05;3.5
9/1/1964;29.1119;31.08;3.45
10/1/1964;28.7087;31.12;3.36
11/1/1964;29.5957;31.21;3.52
12/1/1964;29.9452;31.25;3.85
1/1/1965;30.2677;31.28;3.9
2/1/1965;30.4559;31.28;3.98
3/1/1965;30.8591;31.31;4.05
4/1/1965;30.9935;31.38;4.09
5/1/1965;31.2354;31.48;4.1
6/1/1965;31.4774;31.61;4.05
7/1/1965;31.7731;31.58;4.09
8/1/1965;31.9075;31.55;4.12
9/1/1965;31.9881;31.62;4.02
10/1/1965;32.3107;31.65;4.08
11/1/1965;32.4451;31.75;4.1
12/1/1965;32.8483;31.85;4.32
1/1/1966;33.1709;31.88;4.42
2/1/1966;33.3859;32.08;4.6
3/1/1966;33.8429;32.18;4.66
4/1/1966;33.8967;32.28;4.67
5/1/1966;34.2192;32.35;4.9
6/1/1966;34.3805;32.38;5.17
7/1/1966;34.5687;32.45;5.3
8/1/1966;34.5955;32.65;5.53
9/1/1966;34.9181;32.75;5.4
10/1/1966;35.16;32.85;5.53
11/1/1966;34.9181;32.88;5.76
12/1/1966;34.9987;32.92;5.4
1/1/1967;35.1638;32.9;4.94
2/1/1967;34.765;33;5
3/1/1967;34.5691;33;4.53
4/1/1967;34.8951;33.1;4.05
5/1/1967;34.5907;33.1;3.94
6/1/1967;34.5863;33.3;3.98
7/1/1967;34.5076;33.4;3.79
8/1/1967;35.1687;33.5;3.9
9/1/1967;35.1116;33.6;3.99
10/1/1967;35.3976;33.7;3.88
11/1/1967;35.9038;33.9;4.13
12/1/1967;36.2905;34;4.51
1/1/1968;36.2514;34.1;4.61
2/1/1968;36.3813;34.2;4.71
3/1/1968;36.4949;34.3;5.05
4/1/1968;36.5477;34.4;5.76
5/1/1968;36.9577;34.5;6.12
6/1/1968;37.0934;34.7;6.07
7/1/1968;37.0366;34.9;6.03
8/1/1968;37.1399;35;6.03
9/1/1968;37.2806;35.1;5.78
10/1/1968;37.3546;35.3;5.91
11/1/1968;37.8378;35.4;5.82
12/1/1968;37.9573;35.6;6.02
1/1/1969;38.1869;35.7;6.3
2/1/1969;38.4313;35.8;6.61
3/1/1969;38.7326;36.1;6.79
4/1/1969;38.5901;36.3;7.41
5/1/1969;38.4443;36.4;8.67
6/1/1969;38.8198;36.6;8.9
7/1/1969;39.0248;36.8;8.61
8/1/1969;39.1145;36.9;9.19
9/1/1969;39.1057;37.1;9.15
10/1/1969;39.1171;37.3;9
11/1/1969;38.7484;37.5;8.85
12/1/1969;38.6444;37.7;8.97
1/1/1970;37.9288;37.9;8.98
2/1/1970;37.9038;38.1;8.98
3/1/1970;37.8546;38.3;7.76
4/1/1970;37.7573;38.5;8.1
5/1/1970;37.7133;38.6;7.95
6/1/1970;37.5913;38.8;7.61
7/1/1970;37.6836;38.9;7.21
8/1/1970;37.6164;39;6.62
9/1/1970;37.3571;39.2;6.29
10/1/1970;36.6098;39.4;6.2
11/1/1970;36.3881;39.6;5.6
12/1/1970;37.2237;39.8;4.9
1/1/1971;37.5101;39.9;4.14
2/1/1971;37.4386;39.9;3.72
3/1/1971;37.398;40;3.71
4/1/1971;37.608;40.1;4.16
5/1/1971;37.7989;40.3;4.63
6/1/1971;37.9574;40.5;4.91
7/1/1971;37.8472;40.6;5.31
8/1/1971;37.6276;40.7;5.57
9/1/1971;38.2391;40.8;5.55
10/1/1971;38.5253;40.9;5.2
11/1/1971;38.6888;41;4.91
12/1/1971;39.1355;41.1;4.14
1/1/1972;40.0728;41.2;3.51
2/1/1972;40.4789;41.4;3.3
3/1/1972;40.761;41.4;3.83
4/1/1972;41.1654;41.5;4.17
5/1/1972;41.1693;41.6;4.27
6/1/1972;41.2778;41.7;4.46
7/1/1972;41.2389;41.8;4.55
8/1/1972;41.805;41.9;4.81
9/1/1972;42.1288;42.1;4.87
10/1/1972;42.6703;42.2;5.05
11/1/1972;43.1755;42.4;5.06
12/1/1972;43.6617;42.5;5.33
1/1/1973;43.9783;42.7;5.94
2/1/1973;44.6103;43;6.58
3/1/1973;44.6294;43.4;7.09
4/1/1973;44.568;43.7;7.12
5/1/1973;44.8608;43.9;7.84
6/1/1973;44.9186;44.2;8.49
7/1/1973;45.085;44.2;10.4
8/1/1973;45.0221;45;10.5
9/1/1973;45.3801;45.2;10.78
10/1/1973;45.7462;45.6;10.01
11/1/1973;45.9548;45.9;10.03
12/1/1973;45.8252;46.3;9.95
1/1/1974;45.5207;46.8;9.65
2/1/1974;45.3825;47.3;8.97
3/1/1974;45.3798;47.8;9.35
4/1/1974;45.247;48.1;10.51
5/1/1974;45.6083;48.6;11.31
6/1/1974;45.5216;49;11.93
7/1/1974;45.6136;49.3;12.92
8/1/1974;45.1303;49.9;12.01
9/1/1974;45.1377;50.6;11.34
10/1/1974;44.995;51;10.06
11/1/1974;43.5148;51.5;9.45
12/1/1974;41.9503;51.9;8.53
1/1/1975;41.3689;52.3;7.13
2/1/1975;40.4252;52.6;6.24
3/1/1975;39.9804;52.8;5.54
4/1/1975;40.0572;53;5.49
5/1/1975;39.9402;53.1;5.22
6/1/1975;40.1927;53.5;5.55
7/1/1975;40.6115;54;6.1
8/1/1975;41.0114;54.2;6.14
9/1/1975;41.5422;54.6;6.24
10/1/1975;41.7224;54.9;5.82
11/1/1975;41.7797;55.3;5.22
12/1/1975;42.3462;55.6;5.2
1/1/1976;42.9082;55.8;4.87
2/1/1976;43.3407;55.9;4.77
3/1/1976;43.4281;56;4.84
4/1/1976;43.6518;56.1;4.82
5/1/1976;43.8315;56.4;5.29
6/1/1976;43.8775;56.7;5.48
7/1/1976;44.1248;57;5.31
8/1/1976;44.4262;57.3;5.29
9/1/1976;44.5711;57.6;5.25
10/1/1976;44.56;57.9;5.02
11/1/1976;45.2454;58.1;4.95
12/1/1976;45.731;58.4;4.65
1/1/1977;45.4156;58.7;4.61
2/1/1977;46.1358;59.3;4.68
3/1/1977;46.7158;59.6;4.69
4/1/1977;47.1719;60;4.73
5/1/1977;47.541;60.2;5.35
6/1/1977;47.9063;60.5;5.39
7/1/1977;47.9714;60.8;5.42
8/1/1977;48.0157;61.1;5.9
9/1/1977;48.2097;61.3;6.14
10/1/1977;48.2839;61.6;6.47
11/1/1977;48.3755;62;6.51
12/1/1977;48.4573;62.3;6.56
1/1/1978;47.7512;62.7;6.7
2/1/1978;48.0098;63;6.78
3/1/1978;48.9358;63.4;6.79
4/1/1978;49.9074;63.9;6.89
5/1/1978;50.1513;64.5;7.36
6/1/1978;50.4751;65;7.6
7/1/1978;50.4371;65.5;7.81
8/1/1978;50.6393;65.9;8.04
9/1/1978;50.7631;66.5;8.45
10/1/1978;51.1523;67.1;8.96
11/1/1978;51.5456;67.5;9.76
12/1/1978;51.806;67.9;10.03
1/1/1979;51.525;68.5;10.07
2/1/1979;51.778;69.2;10.06
3/1/1979;51.9382;69.9;10.09
4/1/1979;51.3251;70.6;10.01
5/1/1979;51.7782;71.4;10.24
6/1/1979;51.7865;72.2;10.29
7/1/1979;51.7029;73;10.47
8/1/1979;51.3658;73.7;10.94
9/1/1979;51.3623;74.4;11.43
10/1/1979;51.7175;75.2;13.77
11/1/1979;51.6341;76;13.18
12/1/1979;51.6694;76.9;13.78
1/1/1980;51.944;78;13.82
2/1/1980;51.9633;79;14.13
3/1/1980;51.7454;80.1;17.19
4/1/1980;50.7197;80.9;17.61
5/1/1980;49.4766;81.7;10.98
6/1/1980;48.8383;82.5;9.47
7/1/1980;48.4907;82.6;9.03
8/1/1980;48.6456;83.2;9.61
9/1/1980;49.4578;83.9;10.87
10/1/1980;50.0861;84.7;12.81
11/1/1980;50.9209;85.6;15.85
12/1/1980;51.257;86.4;18.9
1/1/1981;50.9328;87.2;19.08
2/1/1981;50.7237;88;15.93
3/1/1981;50.9806;88.6;14.7
4/1/1981;50.7661;89.1;15.72
5/1/1981;51.0552;89.7;18.52
6/1/1981;51.3214;90.5;19.1
7/1/1981;51.6555;91.5;19.04
8/1/1981;51.5903;92.2;17.82
9/1/1981;51.3429;93.1;15.87
10/1/1981;50.9463;93.4;15.08
11/1/1981;50.3546;93.8;13.31
12/1/1981;49.8086;94.1;12.37
1/1/1982;48.7877;94.4;13.22
2/1/1982;49.7839;94.7;14.78
3/1/1982;49.4477;94.7;14.68
4/1/1982;48.9913;95;14.94
5/1/1982;48.6669;95.9;14.45
6/1/1982;48.5415;97;14.15
7/1/1982;48.3775;97.5;12.59
8/1/1982;47.9382;97.7;10.12
9/1/1982;47.8139;97.7;10.31
10/1/1982;47.3575;98.1;9.71
11/1/1982;47.2078;98;9.2
12/1/1982;46.8713;97.7;8.95
1/1/1983;47.7398;97.9;8.68
2/1/1983;47.4484;98;8.51
3/1/1983;47.8426;98.1;8.77
4/1/1983;48.4483;98.8;8.8
5/1/1983;48.747;99.2;8.63
6/1/1983;49.0434;99.4;8.98
7/1/1983;49.7739;99.8;9.37
8/1/1983;50.364;100.1;9.56
9/1/1983;51.0937;100.4;9.45
10/1/1983;51.4902;100.8;9.48
11/1/1983;51.721;101.1;9.34
12/1/1983;51.9769;101.4;9.47
1/1/1984;53.0088;102.1;9.56
2/1/1984;53.2486;102.6;9.59
3/1/1984;53.5028;102.9;9.91
4/1/1984;53.8233;103.3;10.29
5/1/1984;54.1104;103.5;10.32
6/1/1984;54.3075;103.7;11.06
7/1/1984;54.4587;104.1;11.23
8/1/1984;54.5239;104.4;11.64
9/1/1984;54.3696;104.7;11.3
10/1/1984;54.3474;105.1;9.99
11/1/1984;54.529;105.3;9.43
12/1/1984;54.5556;105.5;8.38
1/1/1985;54.527;105.7;8.35
2/1/1985;54.6871;106.3;8.5
3/1/1985;54.7673;106.8;8.58
4/1/1985;54.6467;107;8.27
5/1/1985;54.7396;107.2;7.97
6/1/1985;54.711;107.5;7.53
7/1/1985;54.4365;107.7;7.88
8/1/1985;54.6121;107.9;7.9
9/1/1985;54.8147;108.1;7.92
10/1/1985;54.6228;108.5;7.99
11/1/1985;54.8123;109;8.05
12/1/1985;55.3553;109.5;8.27
1/1/1986;55.6453;109.9;8.14
2/1/1986;55.2634;109.7;7.86
3/1/1986;54.8728;109.1;7.48
4/1/1986;54.935;108.7;6.99
5/1/1986;55.0399;109;6.85
6/1/1986;54.826;109.4;6.92
7/1/1986;55.167;109.5;6.56
8/1/1986;55.0726;109.6;6.17
9/1/1986;55.2237;110;5.89
10/1/1986;55.4589;110.2;5.85
11/1/1986;55.6763;110.4;6.04
12/1/1986;56.2078;110.8;6.91
1/1/1987;55.9911;111.4;6.43
2/1/1987;56.7373;111.8;6.1
3/1/1987;56.8136;112.2;6.13
4/1/1987;57.185;112.7;6.37
5/1/1987;57.5424;113;6.85
6/1/1987;57.8502;113.5;6.73
7/1/1987;58.2421;113.8;6.58
8/1/1987;58.6784;114.3;6.73
9/1/1987;58.9088;114.7;7.22
10/1/1987;59.7008;115;7.29
11/1/1987;59.9956;115.4;6.69
12/1/1987;60.3246;115.6;6.77
1/1/1988;60.309;116;6.83
2/1/1988;60.6122;116.2;6.58
3/1/1988;60.7452;116.5;6.58
4/1/1988;61.108;117.2;6.87
5/1/1988;60.9843;117.5;7.09
6/1/1988;61.1615;118;7.51
7/1/1988;61.171;118.5;7.75
8/1/1988;61.4771;119;8.01
9/1/1988;61.2785;119.5;8.19
10/1/1988;61.5488;119.9;8.3
11/1/1988;61.7049;120.3;8.35
12/1/1988;61.9851;120.7;8.76
1/1/1989;62.1677;121.2;9.12
2/1/1989;61.8916;121.6;9.36
3/1/1989;62.0508;122.2;9.85
4/1/1989;62.0289;123.1;9.84
5/1/1989;61.6871;123.7;9.81
6/1/1989;61.6857;124.1;9.53
7/1/1989;61.0896;124.5;9.24
8/1/1989;61.6847;124.5;8.99
9/1/1989;61.4794;124.8;9.02
10/1/1989;61.4014;125.4;8.84
11/1/1989;61.6081;125.9;8.55
12/1/1989;61.9588;126.3;8.45
1/1/1990;61.6352;127.5;8.23
2/1/1990;62.1951;128;8.24
